MET2013,city_total,city_coef,shifter,shifter_normalized
"Jackson, MS",-2.250803710079907e-16,0.001647872723487914,-7321263582906.622,0.2304504808457382
"Jackson, TN",8.353777739000812e-17,0.00042247034684156863,5057237097285.999,0.10995934980513516
"Jacksonville, FL",9.237402509576498e-17,0.003980842988491283,43094830872253.4,7.984650191205614
"Janesville-Beloit, WI",1.5325197708082605e-16,0.0004282698111415395,2794546728200.8853,0.03357594810680571
"Johnson City, TN",-3.2255014631443757e-16,0.0007785292870763096,-2413668993711.636,0.025047302222745364
"Johnstown, PA",2.907830226606123e-16,0.000664489865023322,2285174213210.109,0.02245143799625469
"Jonesboro, AR",-3.8971647089991457e-16,0.0004950792834436516,-1270357607161.017,0.006938371000990117
"Joplin, MO",2.224782857940255e-16,0.0007197243773361946,3235032015675.1323,0.04499483869149625
"Kalamazoo-Portage, MI",-3.222248856626919e-16,0.0007145492555809313,-2217548325329.932,0.02114227506618723
"Kansas City, MO-KS",5.681219383824043e-16,0.005661239575991793,9964831831896.62,0.42691899741347106
