city_year,occ_year,shares,city_year_coeff,occ_year_coeff,residuals
"(Baltimore-Columbia-Towson, MD)_2015",(occ2_management)_2015,-4.415404584807443,1.7872643469537937,-0.44395759840114285,0.23074544891219606
"(Bangor, ME)_2015",(occ2_management)_2015,-7.742082818497024,-1.0486075509061417,-0.44395759840114285,-0.260060886917449
"(Barnstable Town, MA)_2015",(occ2_management)_2015,-6.798847572006438,-0.5116175042721651,-0.44395759840114285,0.1461843129391598
"(Baton Rouge, LA)_2015",(occ2_management)_2015,-5.792799275648628,0.5106646717898196,-0.44395759840114285,0.12995043323498567
"(Beaumont-Port Arthur, TX)_2015",(occ2_management)_2015,-6.775691032193811,-0.20645055056199313,-0.44395759840114285,-0.13582610095838543
"(Bellingham, WA)_2015",(occ2_management)_2015,-7.190241271042445,-0.6061012035197697,-0.44395759840114285,-0.15072568684924192
"(Bend-Redmond, OR)_2015",(occ2_management)_2015,-7.2828206221840475,-0.9667299332796118,-0.44395759840114285,0.11732369176899748
"(Binghamton, NY)_2015",(occ2_management)_2015,-7.147548617485886,-0.6615193433709994,-0.44395759840114285,-0.052614893441453425
"(Birmingham-Hoover, AL)_2015",(occ2_management)_2015,-5.442824198228896,0.8865811055224619,-0.44395759840114285,0.1040090769220745
"(Bismarck, ND)_2015",(occ2_management)_2015,-7.5411869267914815,-0.9516775487696867,-0.44395759840114285,-0.15609499734836163
"(Blacksburg-Christiansburg-Radford, VA)_2015",(occ2_management)_2015,-7.206439423264253,-0.744024795723945,-0.44395759840114285,-0.029000246866874413
"(Bloomington, IL)_2015",(occ2_management)_2015,-7.071122985733659,-0.8295537015397048,-0.44395759840114285,0.19184509647947845
"(Bloomington, IN)_2015",(occ2_management)_2015,-7.419834341405087,-0.8742682378311675,-0.44395759840114285,-0.11215172290048692
"(Boise City, ID)_2015",(occ2_management)_2015,-5.97165667027758,0.42622207037629245,-0.44395759840114285,0.03553564001956033
"(Boston-Cambridge-Newton, MA-NH)_2015",(occ2_management)_2015,-3.7973795971795483,2.3790871553641866,-0.44395759840114285,0.2569476281296983
"(Bremerton-Silverdale, WA)_2015",(occ2_management)_2015,-6.950295583646789,-0.7024392715288821,-0.44395759840114285,0.18555806855552603
"(Bridgeport-Stamford-Norwalk, CT)_2015",(occ2_management)_2015,-5.461878083903677,0.730732189168573,-0.44395759840114285,0.24080410760118287
"(Brownsville-Harlingen, TX)_2015",(occ2_management)_2015,-6.967220018122881,-0.16623190903739982,-0.44395759840114285,-0.36757372841204816
"(Buffalo-Cheektowaga-Niagara Falls, NY)_2015",(occ2_management)_2015,-5.40818175071773,0.9655029429059487,-0.44395759840114285,0.05972968704975479
"(Burlington, NC)_2015",(occ2_management)_2015,-7.329505681116561,-1.1103043992404142,-0.44395759840114285,0.21421309879728678
"(Burlington-South Burlington, VT)_2015",(occ2_management)_2015,-6.891932393286601,-0.6062070999123614,-0.44395759840114285,0.1476890872991934
"(Canton-Massillon, OH)_2015",(occ2_management)_2015,-6.521455977824206,-0.04811993910402901,-0.44395759840114285,-0.03992165804674386
"(Cape Coral-Fort Myers, FL)_2015",(occ2_management)_2015,-6.141925137646276,0.30092566582687175,-0.44395759840114285,-0.009436422799715238
"(Champaign-Urbana, IL)_2015",(occ2_management)_2015,-7.257360286626719,-0.7757110590023877,-0.44395759840114285,-0.048234846950898635
"(Charleston, WV)_2015",(occ2_management)_2015,-7.204060070773603,-0.8297628595398985,-0.44395759840114285,0.059117169439728556
"(Charleston-North Charleston, SC)_2015",(occ2_management)_2015,-5.8912949524134826,0.45172107894840074,-0.44395759840114285,0.09039834931154989
"(Charlotte-Concord-Gastonia, NC-SC)_2015",(occ2_management)_2015,-4.57006626790201,1.668001576050085,-0.44395759840114285,0.19534653672133828
"(Chattanooga, TN-GA)_2015",(occ2_management)_2015,-6.249654042000191,0.10938446895454934,-0.44395759840114285,0.07437586971869248
"(Chicago-Naperville-Elgin, IL-IN-WI)_2015",(occ2_management)_2015,-3.23402163325668,3.005910163760073,-0.44395759840114285,0.19348258365668025
"(Chico, CA)_2015",(occ2_management)_2015,-7.125146650735092,-0.6909526750449198,-0.44395759840114285,-0.0007795950167386323
"(Cincinnati, OH-KY-IN)_2015",(occ2_management)_2015,-4.728728170843162,1.5431532656578566,-0.44395759840114285,0.16153294417241426
"(Clarksville, TN-KY)_2015",(occ2_management)_2015,-7.037644698741954,-0.4193900378871369,-0.44395759840114285,-0.1848402801813842
"(Cleveland-Elyria, OH)_2015",(occ2_management)_2015,-4.759000262931013,1.5575430559117494,-0.44395759840114285,0.11687106183067097
"(Coeur d'Alene, ID)_2015",(occ2_management)_2015,-7.463020340000004,-1.056422490956935,-0.44395759840114285,0.026816531630363905
"(College Station-Bryan, TX)_2015",(occ2_management)_2015,-7.087908638011612,-0.6831508925490777,-0.44395759840114285,0.028656635210898784
"(Colorado Springs, CO)_2015",(occ2_management)_2015,-5.861637990592004,0.45058460900301256,-0.44395759840114285,0.12119178107841666
"(Columbia, MO)_2015",(occ2_management)_2015,-7.241252120455727,-0.9977345493001528,-0.44395759840114285,0.18989680951785814
"(Columbia, SC)_2015",(occ2_management)_2015,-5.7409073631023855,0.6063847588304001,-0.44395759840114285,0.08612225874064716
"(Columbus, OH)_2015",(occ2_management)_2015,-4.66721210235703,1.452855490254933,-0.44395759840114285,0.3133467880614704
"(Corpus Christi, TX)_2015",(occ2_management)_2015,-6.490559336658794,0.16271796944929395,-0.44395759840114285,-0.21986292543465513
"(Dallas-Fort Worth-Arlington, TX)_2015",(occ2_management)_2015,-3.498272802510891,2.68052784776762,-0.44395759840114285,0.25461373039492186
"(Daphne-Fairhope-Foley, AL)_2015",(occ2_management)_2015,-7.461370652843431,-0.911904037791075,-0.44395759840114285,-0.1160522343789232
"(Dayton, OH)_2015",(occ2_management)_2015,-5.803632739563217,0.5847363130257075,-0.44395759840114285,0.04504532808450801
"(Decatur, AL)_2015",(occ2_management)_2015,-7.746635133550748,-1.3151393869447192,-0.44395759840114285,0.0019186340674046676
"(Decatur, IL)_2015",(occ2_management)_2015,-7.861149636617955,-1.3322109625312408,-0.44395759840114285,-0.09552429341328139
"(Deltona-Daytona Beach-Ormond Beach, FL)_2015",(occ2_management)_2015,-6.2011323058076195,0.25223469229329387,-0.44395759840114285,-0.019952617427480668
"(Denver-Aurora-Lakewood, CO)_2015",(occ2_management)_2015,-4.26127932536988,1.8981316658501193,-0.44395759840114285,0.2740033894534335
"(Des Moines-West Des Moines, IA)_2015",(occ2_management)_2015,-5.736634685387145,0.4458965986195462,-0.44395759840114285,0.25088309666674213
