MET2013,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth,city_total
"Hartford-West Hartford-East Hartford, CT",0.0003953005699630684,-9.270812868449442e-05,0.00018003001675653656,-0.0007742423688646405,0.00016437415919023446,-0.0004966822060221789,0.00044161387282263187,-0.0016541701865118094,-0.00013613234017519158,-0.0012828282958560232,0.0007893650553137512,0.0008473252117304078,-0.0001631521092970759,0.0005113010348120994,-0.0004946899611432539,-0.0003515083966793625,-0.001567621626926432,9.812255179935487e-05,8.524450387665996e-05,0.0011726043082643891,-0.00041562244952755715,0.0025021136812820688,0.00024196310387668936,-1.2793585635328952e-16
"Hattiesburg, MS",-7.784970940449246e-05,-7.833375208455515e-05,-0.0004229193119016242,0.0012911775319926987,-0.0007007453058047268,0.00040350751919556024,-0.0008420586236691291,0.0029892835742403295,1.1404591666347333e-05,0.00019199096467138,3.4778351385290126e-05,-0.0004781921099740533,-8.417340438273682e-05,-4.232827215246127e-05,7.55448799735853e-05,-0.0003750451379143234,-0.00015347457975529294,-2.414853889130624e-05,-0.00010370952026800121,-0.0003328445696206719,-0.00033605461970461793,-0.0007345241378405923,-0.00021128581975657173,3.436920886779049e-17
"Hickory-Lenoir-Morganton, NC",-2.399786312922e-05,-0.0003114873127133827,-0.0002971678489098518,0.000693365784787571,-0.0012121415673548544,0.0008205998259683326,-0.0006051806667717564,0.0006171638071630021,0.0015802388764038198,-0.0001319794735723117,0.0011688777543891627,-0.0006485856114982807,-0.0002795947815599643,-2.197630900168876e-05,0.00032335594125675786,-0.0002224646346249508,-0.00043188254734902046,-0.00018360535347953372,0.0001357260267886714,-0.00022955048171319952,0.00012070784875075464,-0.0007560575950205198,-0.00010436381880949927,3.8055496254241206e-17
"Homosassa Springs, FL",-2.6282224897066116e-05,3.62012761377119e-06,-0.00031951495063999784,0.0011125739970333248,-0.0002516790019230006,0.00041293928286668664,-0.0007386542624075027,0.0009635183116552561,9.417422881427372e-05,0.0005007763076540422,8.32014062911165e-05,-0.0005334826419107269,-0.00017768347951771046,-7.629362430333495e-05,9.876087146471168e-05,0.00027409904188880295,-0.0004227079613736666,-0.00016802131910597984,0.0001017981695621252,-0.00035691399656134553,-2.759416095339149e-05,-0.00042156403475156597,-0.0001250700864987453,7.643625316022806e-17
"Houston-The Woodlands-Sugar Land, TX",-0.00018709455858608934,0.0035267255921853508,0.00111178260636648,-0.012296983460095598,0.0022912912694500777,0.0016057323533639652,0.0036586785097991736,0.0068081550464847325,-0.0030977556713284483,-0.01087634346487958,-0.001308583661414106,0.0014967843638220499,0.0027966399109537673,0.00042873530910124413,0.0021835284908491882,0.003886610535046079,0.007979142532754013,-0.001000046891059602,0.00017173441352740307,-0.0010618085750369669,-0.0003105130466289144,-0.005040920001611788,-0.002765491603063469,-1.0373646386341306e-15
"Huntsville, AL",1.0808998219602201e-05,0.00015168783688733955,8.145836713670338e-06,0.0007193305973016931,-0.00027122700904423213,3.843033368695491e-05,-0.0004226114943762342,2.740804380192436e-05,0.000585931218849742,5.6448298255810524e-05,5.176580597058482e-05,0.00027332002671844133,-0.0002366808120838422,0.00035555934823443334,-0.00019089372052161994,3.393776459827136e-05,-0.00020544717622409823,-6.363790889171153e-05,-9.775182901606465e-06,-1.3977695973677214e-05,6.491292406177684e-05,-0.0005837012149758977,-0.000379734818307077,2.480654570646834e-16
"Indianapolis-Carmel-Anderson, IN",0.0008025808220003755,0.0007403582812346128,0.000340470655630044,-0.00024466659915753407,-0.0002757832381491592,0.0006897706778408279,0.0004777081901423388,-0.0004900599713450024,0.001534085123596915,-0.0029142705207896168,0.0007415647508592577,0.00017672423369481487,0.00033756663419773087,0.0015095244030157058,0.0010646140366254537,-0.0015763171068562554,-0.0015033651411500248,0.0001301887916486614,0.000335004556366667,-0.0004789272341500037,0.0008615877524935497,-0.001611227013370924,-0.0006471320843779039,5.30825383648903e-16
"Iowa City, IA",-7.794124408571658e-05,-0.00013448216084247931,-0.0003786865071075484,0.0016160887214519744,-0.000650254866147851,8.934497607283615e-05,-0.0006634182131521531,0.0006421582717311056,0.00015862787903512323,0.0004658175444638917,8.921231716346604e-05,-0.00019105501910107736,-0.00022123539057916088,9.457765315941467e-05,3.7494362149961174e-05,-0.0003745741672378475,-0.00044244036059191706,3.40782959508696e-05,9.445840218497473e-05,-6.846485610649609e-05,-0.000404204791882242,0.00013582688386698353,0.00014907226960350417,-3.839159892771171e-16
"Ithaca, NY",-6.787515049993203e-05,-9.479499482579475e-05,-0.00037107849819316375,0.0017497785195423588,-0.0006537754429587664,-5.891305309157929e-05,-0.0006237310471354686,0.0010367070417221901,3.323725214190778e-05,0.0007793460194420762,0.00015639013635805057,-0.0001767590359960929,0.00011810417864972366,-0.00010613217929570084,-0.00014151402575275423,-0.000539539433174263,-0.0003495192313067325,-7.235284890484575e-05,-4.964042322164075e-05,0.00025803833336528854,-0.00039381135407828854,-0.00019120849831413193,-0.00024095626447261125,-1.7097868260096405e-16
"Jackson, MI",-0.00013813820145354856,0.00017802567948798872,-0.0004703022193476803,0.0017601443451740425,-0.000874622624301983,0.0001581324182730042,-0.000801370485651185,0.0005042059992320736,0.0005984478817207912,0.00025940494472455973,0.00047358245504483407,-0.0005765713249895094,-0.0002906956852010929,-2.620340516311739e-05,2.3469570205229254e-05,-0.0003760914851014795,-0.00010128696367384907,-4.767462621266228e-05,0.00020155411825034273,-7.8943340403228e-05,-1.4869956551073955e-05,-0.0005260147432003485,0.00016581764913787221,-1.984089975648473e-17
